n,c
1.,0.11234705228031146
4.,0.4642857142857143
7.,0.8387458006718925
10.,1.2359550561797752
13.,1.6561443066516348
16.,2.0995475113122173
19.,2.5664018161180477
22.,3.0569476082004554
25.,3.5714285714285716
28.,4.110091743119266
31.,4.6731875719217495
34.,5.2609699769053115
37.,5.87369640787949
40.,6.511627906976744
43.,7.175029171528588
46.,7.864168618266979
49.,8.579318448883667
52.,9.320754716981131
55.,10.088757396449704
58.,10.883610451306414
61.,11.70560190703218
64.,12.555023923444976
67.,13.432172869147658
70.,14.337349397590362
73.,15.270858524788391
76.,16.233009708737864
79.,17.22411693057247
82.,18.244498777506113
85.,19.29447852760736
88.,20.374384236453203
91.,21.484548825710753
94.,22.62531017369727
97.,23.79701120797011
100.,25.
103.,26.234629861982434
106.,27.50125944584383
109.,28.800252844500633
112.,30.131979695431472
115.,31.496815286624205
118.,32.89514066496164
121.,34.32734274711168
124.,35.79381443298969
127.,37.29495472186287
130.,38.83116883116883
133.,40.40286831812256
136.,42.010471204188484
139.,43.65440210249672
142.,45.33509234828496
145.,47.05298013245033
148.,48.808510638297875
151.,50.60213618157543
154.,52.4343163538874
157.,54.305518169582776
160.,56.21621621621622
163.,58.166892808683855
166.,60.15803814713897
169.,62.19015047879617
172.,64.26373626373626
175.,66.37931034482759
178.,68.53739612188366
181.,70.73852573018081
184.,72.98324022346368
187.,75.27208976157083
190.,77.6056338028169
193.,79.98444130127298
196.,82.4090909090909
199.,84.88017118402283
202.,87.39828080229226
205.,89.96402877697842
208.,92.57803468208093
211.,95.24092888243831
214.,97.9533527696793
217.,100.71595900439239
220.,103.52941176470588
223.,106.3943870014771
226.,109.31157270029674
229.,112.28166915052161
232.,115.30538922155688
235.,118.38345864661655
238.,121.5166163141994
241.,124.70561456752655
244.,127.95121951219512
247.,131.2542113323124
250.,134.6153846153846
253.,138.0355486862442
256.,141.51552795031057
259.,145.05616224648986
262.,148.65830721003135
265.,152.3228346456693
268.,156.0506329113924
271.,159.84260731319554
274.,163.6996805111821
277.,167.62279293739968
280.,171.61290322580646
283.,175.6709886547812
286.,179.79804560260587
289.,183.99509001636662
292.,188.26315789473685
295.,192.60330578512398
