n,c
10.,0.10812434048593295
410.,22.08381603656035
810.,81.37168502411218
1210.,183.12069166774717
1610.,333.47642686848405
2010.,539.830643529716
2410.,811.1539095320835
2810.,1158.4408993343532
3210.,1595.3154151679744
3610.,2138.866223867062
4010.,2810.8234155945015
4410.,3639.2489242450233
4810.,4661.023993198751
5210.,5925.6092750220605
5610.,7500.907991842782
6010.,9482.745542247792
6410.,12010.866172784616
6810.,15297.350229164029
7210.,19680.37568701308
7800.,29471.06229314504
8000.,34252.69926518981
8200.,40206.03384808195
8400.,47799.43325983941
8500.,52430.65224825216
8575.,56372.42166074348
8650.,60795.863711068334
8725.,65793.13527294535
8800.,71481.50402883587
8875.,78012.52675895896
8950.,85585.56964054462
