n,koff
1.,0.9842066626351237
41.,40.95681016522682
81.,81.12197653572703
121.,121.31122492727924
161.,161.50592828782052
201.,201.70230673963437
241.,241.89931721047694
281.,282.0966332496877
321.,322.29415372157746
361.,362.4918554194385
401.,402.68974273870725
441.,442.8878290933374
481.,483.08612980868594
521.,523.2846594502723
561.,563.4834309349018
601.,603.6824553590336
641.,643.8817421084534
681.,684.0812990606406
721.,724.2811328005819
761.,764.4812488226605
801.,804.6816517102204
841.,844.8823452744788
881.,885.0833326960234
883.,887.0933898366968
884.,888.0984186665804
885.,889.1034477001197
886.,890.1084769186
887.,891.1135063253196
888.,892.1185359108108
889.,893.1235656834541
890.,894.1285956407137
891.,895.1336257867747
892.,896.1386561437314
893.,897.1436866575035
894.,898.1487173877595
895.,899.1537482215996
896.,900.1587793560451
897.,901.1712947705219
898.,902.1776204507266
