n,c
1.,112.34705228031146
2.,56.792873051224944
3.,38.275733927907844
4.,29.017857142857142
5.,23.463687150837988
6.,19.7613721103654
7.,17.117261238201888
8.,15.134529147982063
9.,13.592717296421
10.,12.359550561797754
11.,11.35085387053891
12.,10.51051051051051
13.,9.799670453559969
14.,9.190583682683005
15.,8.662900188323917
16.,8.201357466063348
17.,7.794284191592832
18.,7.432602670697909
19.,7.109146305036143
20.,6.818181818181818
21.,6.555067988515088
22.,6.316007454959619
23.,6.0978632690496255
24.,5.898021308980213
25.,5.714285714285714
26.,5.54479845097694
27.,5.387976751092444
28.,5.242463958060289
29.,5.107090541985035
30.,4.980842911877395
31.,4.862838264226586
32.,4.752304147465438
33.,4.648561741987348
34.,4.551012090748539
35.,4.459124690338563
36.,4.372427983539095
37.,4.290501393630015
38.,4.212968616436683
39.,4.139491944369993
40.,4.069767441860465
41.,4.003520826826429
42.,3.9405039405039406
43.,3.88049170985862
44.,3.8232795242141036
45.,3.7686809616634176
46.,3.7165258120354343
47.,3.6666583522486342
48.,3.6189358372456963
49.,3.5732271757116476
50.,3.5294117647058822
51.,3.4873784613963372
52.,3.447024673439768
53.,3.4082555523378852
54.,3.3709832764206284
55.,3.335126412049489
56.,3.3006093432633716
57.,3.26736176146178
58.,3.235318207879433
59.,3.2044176625889276
60.,3.1746031746031744
61.,3.145821528361242
62.,3.118022942489799
63.,3.091160797253987
64.,3.0651913875598087
65.,3.0400736987563337
66.,3.0157692028195626
67.,2.9922416727885186
68.,2.9694570135746607
69.,2.947383107483563
70.,2.9259896729776247
71.,2.9052481353743693
72.,2.885131508319914
73.,2.8656142850043893
74.,2.846672338197762
75.,2.8282828282828283
76.,2.810424118548799
77.,2.793075697085418
78.,2.776218104685258
79.,2.759832868221835
80.,2.7439024390243905
81.,2.728410135817543
82.,2.7133400918361263
83.,2.698677205763077
84.,2.684407096171802
85.,2.67051605918441
86.,2.656991029084052
87.,2.6438195416436923
88.,2.6309896999552174
89.,2.618490142562241
90.,2.606310013717421
91.,2.5944389356008637
92.,2.582866982350409
93.,2.5715846557674116
94.,2.560582862573254
95.,2.549852893102321
96.,2.5393864013267
97.,2.529175386116496
98.,2.5192121736475137
99.,2.5094894008751685
100.,2.5
101.,2.4907371838560577
102.,2.4816944321588283
103.,2.4728654785542874
104.,2.4642442984151525
105.,2.4558250973345315
106.,2.4476023002708995
107.,2.4395705413018116
108.,2.431724653946876
109.,2.424059662023452
110.,2.4165707710011506
111.,2.409253359823702
112.,2.402102973168963
113.,2.3951153141199355
114.,2.3882862372215525
115.,2.381611741899751
116.,2.375087966220971
117.,2.3687111809717174
118.,2.3624777840391866
119.,2.3563842950752645
120.,2.3504273504273505
121.,2.3446036983205847
122.,2.338910194277045
123.,2.333343796758431
124.,2.327901563019621
125.,2.3225806451612905
126.,2.3173782863705346
127.,2.312291817339133
128.,2.307318652849741
129.,2.302456288520898
130.,2.2977022977022976
131.,2.293054328512294
132.,2.288510101010101
133.,2.2840674044955938
134.,2.2797240949300495
135.,2.2754780924715567
136.,2.271327379119187
137.,2.26726999646038
138.,2.2633040435162997
139.,2.2594276746802295
140.,2.255639097744361
141.,2.2519365720105777
142.,2.248318406481103
143.,2.244782958125098
144.,2.2413286302175193
145.,2.237953870746746
146.,2.2346571708876857
147.,2.2314370635372343
148.,2.2282921219091434
149.,2.2252209581855067
150.,2.2222222222222223
151.,2.219294600305927
152.,2.216436813960034
153.,2.2136476187976304
154.,2.210925803419101
155.,2.2082701883524574
156.,2.2056796250344637
157.,2.2031529948307345
158.,2.200689208093077
159.,2.1982872032524465
160.,2.195945945945946
161.,2.193664428176401
162.,2.1914416675030948
163.,2.1892767062623304
164.,2.187168610816543
165.,2.1851164708307564
166.,2.1831193985752275
167.,2.1811765282531796
168.,2.179287015352589
169.,2.1774500360210136
170.,2.17566478646253
171.,2.1739304823558667
172.,2.17224635829287
173.,2.1706116672364852
174.,2.1690256799974668
175.,2.167487684729064
176.,2.165996986438975
177.,2.164552906517883
178.,2.163154782283918
179.,2.161801966542434
180.,2.1604938271604937
181.,2.159229746655499
182.,2.1580091217974227
183.,2.15683136322412
184.,2.155695895069225
185.,2.1546021546021548
186.,2.1535495918797625
187.,2.152537669409215
188.,2.151565861821659
189.,2.1506336555563
190.,2.149740548554485
191.,2.148886049963447
192.,2.148069679849341
193.,2.1472909689192456
194.,2.1465494582518034
195.,2.1458446990361884
196.,2.1451762523191094
197.,2.1445436887595584
198.,2.143946588391033
199.,2.1433845403909704
200.,2.142857142857143
201.,2.142364002590766
202.,2.1419047348860962
203.,2.141478963326289
204.,2.1410863195853054
205.,2.140726443235655
206.,2.1403989815617916
207.,2.1401035893789517
208.,2.13983992885727
209.,2.1396076693509856
210.,2.139406487232574
211.,2.139236065731639
212.,2.1390960947784117
213.,2.1389862708516993
214.,2.138906296831149
215.,2.138855881853675
216.,2.1388347411739224
217.,2.138842596028635
218.,2.1388791735048023
219.,2.1389442064114683
220.,2.1390374331550803
221.,2.13915859761827
222.,2.1393074490419624
223.,2.139483741910698
224.,2.139687235841082
225.,2.139917695473251
226.,2.140174890365274
227.,2.1404585948903914
228.,2.1407685881370093
229.,2.1411046538113614
230.,2.1414665801427644
231.,2.1418541597913796
232.,2.1422671897584142
233.,2.1427054712986853
234.,2.1431688098354766
235.,2.1436570148776197
236.,2.144169899938738
237.,2.1447072824585853
238.,2.145268983726421
239.,2.1458548288063604
240.,2.1464646464646466
241.,2.147098269098785
242.,2.147755532668492
243.,2.1484362766283955
244.,2.149140343862455
245.,2.1498675806200342
246.,2.150617836453594
247.,2.1513909641579505
248.,2.1521868197110625
249.,2.1530052622163
250.,2.1538461538461537
251.,2.154709359787353
252.,2.1555947481873408
253.,2.1565021901020827
254.,2.157431559445162
255.,2.1583827329381364
256.,2.1593555900621118
257.,2.160350013010511
258.,2.1613658866430003
259.,2.16240309844054
260.,2.1634615384615383
261.,2.1645410992990723
262.,2.165641676039149
263.,2.166763166219983
264.,2.167905469792262
265.,2.169068489080374
266.,2.170252128744574
267.,2.171456295744064
268.,2.1726808993009636
269.,2.1739258508651518
270.,2.1751910640799528
271.,2.176476454748649
272.,2.177781940801798
273.,2.179107442265337
274.,2.180452881229449
275.,2.1818181818181817
276.,2.183203270159792
277.,2.1846080743578007
278.,2.1860325244627448
279.,2.1874765524446063
280.,2.1889400921658986
281.,2.1904230793554063
282.,2.1919254515825473
283.,2.1934471482323565
284.,2.1949881104810682
285.,2.1965482812722863
286.,2.198127605293729
287.,2.1997260289545335
288.,2.2013435003631083
289.,2.2029799693055234
290.,2.2046353872244207
291.,2.206309707198438
292.,2.208002883922134
293.,2.2097148736864005
294.,2.2114456343593543
295.,2.2131951253676987
296.,2.2149633076785396
297.,2.216750143781653
298.,2.218555597672189
299.,2.2203796348338054
300.,2.2222222222222223
301.,2.224083328249186
302.,2.2259629227668385
303.,2.227860977052479
304.,2.2297774637937127
305.,2.231712357073977
306.,2.2336656323584427
307.,2.235637266480272
308.,2.2376272376272377
309.,2.2396355253286897
310.,2.241662110442865
311.,2.243706975144531
312.,2.24577010291296
313.,2.247851478520228
314.,2.2499510880198255
315.,2.2520689187355853
316.,2.2542049592509104
317.,2.2563591993983043
318.,2.258531630249195
319.,2.260722244104047
320.,2.2629310344827585
321.,2.2651579961153345
322.,2.2674031249328377
323.,2.2696664180586037
324.,2.271947873799726
325.,2.274247491638796
326.,2.2765652722259038
327.,2.2789012173708847
328.,2.281255330035818
329.,2.283627614327767
330.,2.28601807549176
331.,2.288426719904003
332.,2.2908535550653317
333.,2.293298589594886
334.,2.2957618332240113
335.,2.2982432967903845
336.,2.300742992232354
337.,2.3032609325834996
338.,2.305797131967403
339.,2.308351605592626
340.,2.310924369747899
341.,2.313515441797512
342.,2.3161248401769057
343.,2.3187525843884615
344.,2.3213986949974905
345.,2.324063193628411
346.,2.3267461029611236
347.,2.329447446727569
348.,2.332167249708479
349.,2.3349055377303056
350.,2.3376623376623376
351.,2.340437677413998
352.,2.343231585932316
353.,2.3460440931995796
354.,2.3488752302311626
355.,2.3517250290735237
356.,2.3545935228023795
357.,2.3574807455210447
358.,2.360386732358944
359.,2.3633115194702885
360.,2.366255144032922
361.,2.369217644247324
362.,2.3721990593357845
363.,2.3751994295417354
364.,2.378218796129244
365.,2.3812572013826654
366.,2.3843146886064552
367.,2.387391302125136
368.,2.390487087283426
369.,2.3936020904465165
370.,2.39673635900051
371.,2.399889941353008
372.,2.4030628869338546
373.,2.406255246196031
374.,2.4094670706167016
375.,2.4126984126984126
376.,2.4159493259704403
377.,2.4192198649902874
378.,2.4225100853453343
379.,2.425820043654632
380.,2.42914979757085
381.,2.43249940578237
382.,2.435868928015525
383.,2.439258425036993
384.,2.442667958656331
385.,2.44609759172866
386.,2.4495473881574967
387.,2.453017412897734
388.,2.4565077319587627
389.,2.460018412407749
390.,2.463549522373052
391.,2.4671011310477895
392.,2.470673308693556
393.,2.4742661266442827
394.,2.4778796573102464
395.,2.4815139741822283
396.,2.4851691518358185
397.,2.488845265935871
398.,2.4925423932411057
399.,2.4962606116088626
400.,2.5
401.,2.5037606384839504
402.,2.507542608243921
403.,2.511345991582248
404.,2.515170871925902
405.,2.5190173338321484
406.,2.522885462994356
407.,2.526775346247963
408.,2.5306870715765983
409.,2.5346207281183553
410.,2.538576406172225
411.,2.5425541972046832
412.,2.546554193856438
413.,2.5505764899493366
414.,2.5546211804934296
415.,2.5586883616941996
416.,2.5627781309599493
417.,2.5668905869093543
418.,2.5710258293791814
419.,2.5751839594321693
420.,2.5793650793650795
421.,2.583569292716913
422.,2.587796704277301
423.,2.5920474200950583
424.,2.5963215474869195
425.,2.6006191950464395
426.,2.6049404726530776
427.,2.6092854914814505
428.,2.6136543640107712
429.,2.618047204034465
430.,2.6224641266699655
431.,2.626905248368697
432.,2.6313706869262425
433.,2.635860561492698
434.,2.6403749925832165
435.,2.6449141020887406
436.,2.6494780132869344
437.,2.6540668508533045
438.,2.6586807408725215
439.,2.66331981084994
440.,2.6679841897233203
441.,2.672674007874755
442.,2.6773893971428007
443.,2.6821304908348194
444.,2.686897423739529
