n,c
1.,112.34705228031082
16.,8.201357466063346
31.,4.862838264226586
46.,3.7165258120354343
61.,3.145821528361242
76.,2.810424118548799
91.,2.5944389356008637
106.,2.4476023002708995
121.,2.3446036983205847
136.,2.2713273791191875
151.,2.219294600305927
166.,2.1831193985752275
181.,2.159229746655499
196.,2.1451762523191094
211.,2.139236065731639
226.,2.140174890365274
241.,2.147098269098785
256.,2.1593555900621118
271.,2.176476454748649
286.,2.198127605293729
301.,2.224083328249186
316.,2.2542049592509104
331.,2.288426719904003
346.,2.3267461029611236
361.,2.369217644247324
376.,2.4159493259704403
391.,2.4671011310477895
406.,2.522885462994356
421.,2.583569292716913
436.,2.6494780132869344
451.,2.721001091363414
466.,2.7985997112398886
481.,2.8828167252988255
496.,2.974289364420313
511.,3.073765337384734
526.,3.1821231776499097
541.,3.300398004314717
556.,3.4298142881044082
571.,3.571827807025482
586.,3.7281798221777787
601.,3.9009677293696683
616.,4.092738247667826
631.,4.306611915941525
646.,4.546451817361836
661.,4.817095943131694
676.,5.124683009298409
691.,5.477118661671958
706.,5.884758038608686
721.,6.361431593302284
736.,6.92603393425237
751.,7.605072431389
766.,8.436927633373639
781.,9.479335908498884
796.,10.823347506764314
811.,12.62139957605391
826.,15.149532098684666
841.,18.964509562869008
856.,25.382327952427573
871.,38.441743536961006
886.,79.49048693970863
901.,-1110.98779084151
916.,-69.32314410479813
931.,-35.722947922802526
946.,-24.03713576615442
961.,-18.099315944797993
976.,-14.506039689387269
991.,-12.097892017165302
