n,koff
1.,999.9999999999943
16.,62.49999999999998
31.,32.25806451612902
46.,21.73913043478261
61.,16.39344262295082
76.,13.157894736842104
91.,10.989010989010989
106.,9.433962264150944
121.,8.264462809917354
136.,7.352941176470591
151.,6.622516556291391
166.,6.024096385542169
181.,5.524861878453039
196.,5.1020408163265305
211.,4.739336492890995
226.,4.424778761061947
241.,4.149377593360996
256.,3.90625
271.,3.690036900369004
286.,3.4965034965034967
301.,3.3222591362126246
316.,3.1645569620253164
331.,3.0211480362537766
346.,2.8901734104046244
361.,2.770083102493075
376.,2.6595744680851063
391.,2.557544757033248
406.,2.4630541871921183
421.,2.375296912114014
436.,2.293577981651376
451.,2.2172949002217295
466.,2.1459227467811157
481.,2.079002079002079
496.,2.0161290322580645
511.,1.9569471624266144
526.,1.9011406844106458
541.,1.8484288354898337
556.,1.798561151079136
571.,1.7513134851138354
586.,1.7064846416382253
601.,1.663893510815308
616.,1.6233766233766234
631.,1.5847860538827263
646.,1.5479876160990713
661.,1.5128593040847196
676.,1.4792899408284017
691.,1.4471780028943555
706.,1.4164305949008498
721.,1.3869625520110958
736.,1.3586956521739129
751.,1.3315579227696408
766.,1.3054830287206263
781.,1.2804097311139582
796.,1.2562814070351775
811.,1.2330456226880397
826.,1.2106537530266344
841.,1.1890606420927468
856.,1.168224299065414
871.,1.1481056257175641
886.,1.1286681715575608
901.,1.1098779134292591
916.,1.0917030567685584
931.,1.0741138560687433
946.,1.057082452431289
961.,1.040582726326743
976.,1.024590163934426
991.,1.0090817356205846
