c,Err_c
0.001,-1.099844521536729
0.002,-1.2214504022252297
0.003,-1.3728311951126277
0.004,-1.5664764400371076
0.005,-1.8229874986001957
0.006,-2.1789432591948366
0.007,-2.7061186859167674
0.008,-3.5672294477934576
0.009000000000000001,-5.226742424054311
0.010000000000000002,-9.754972353244224
0.011,-71.990423409054
0.012,13.415231602284027
0.013000000000000001,6.142918219222508
0.014000000000000002,3.9864125970201925
0.015,2.95217766910007
0.016,2.34503233422137
0.017,1.945697151246046
0.018000000000000002,1.6630687659014873
0.019000000000000003,1.4525069002211768
0.02,1.2895634458654297
0.02,1.2895634458654297
0.03,0.6112792820605857
0.04,0.4032805423168329
0.05,0.3023654446629059
0.06,0.24276834734290673
0.07,0.20342686141824562
0.08,0.17551551621499373
0.09000000000000001,0.15468588271544856
0.1,0.13854711448346244
0.11,0.1256757804684278
0.12000000000000001,0.11517149669618251
0.13,0.10643688962528587
0.13999999999999999,0.09906001907599332
0.15,0.09274760714539491
0.16,0.08728518089987108
0.16999999999999998,0.08251226911681869
0.18,0.07830641232105151
0.19,0.07457253680647956
0.19999999999999998,0.07123570448131478
0.21,0.06823605021548336
0.22,0.06552517354061058
0.22999999999999998,0.06306351954420658
0.24,0.06081844640079482
0.25,0.05876277831670836
0.26,0.056873707351578415
0.27,0.0551319497758066
0.28,0.0535210906944068
0.29000000000000004,0.05202706967904451
0.30000000000000004,0.05063777323811323
0.31,0.049342709101399485
0.32,0.04813274377728125
0.33,0.04699988949241957
0.34,0.04593713000280023
0.35000000000000003,0.04493827724647507
0.36000000000000004,0.04399785264965779
0.37000000000000005,0.0431109882773603
0.38,0.042273344062685556
0.39,0.0414810381440993
0.4,0.04073058795111537
0.41000000000000003,0.040018860152104936
0.42000000000000004,0.03934302794701399
0.43000000000000005,0.038700534477515196
0.44,0.03808906135615081
0.45,0.037506501497945266
0.46,0.03695093558357226
0.47000000000000003,0.03642061160006322
0.48000000000000004,0.03591392699961251
0.49000000000000005,0.03542941309377391
0.5,0.03496572136296251
0.51,0.034521611412524605
0.52,0.034095940348870084
0.53,0.03368765338409007
0.54,0.03329577550646758
0.55,0.03291940407840913
0.56,0.032557702243538454
0.5700000000000001,0.03220989304158453
0.5800000000000001,0.0318752541439816
0.5900000000000001,0.0315531131351161
0.6,0.03124284327436921
0.61,0.030943859682744528
0.62,0.030655615905268423
0.63,0.030377600806675235
0.64,0.030109335763262957
0.65,0.02985037211847444
0.66,0.029600288873757735
0.67,0.029358690589704955
0.68,0.029125205475459177
0.6900000000000001,0.02889948364699171
0.7000000000000001,0.028681195537065527
0.7100000000000001,0.02847003044172779
0.7200000000000001,0.028265695189802136
0.73,0.028067912923455198
0.74,0.02787642197912258
0.75,0.027690974859327783
0.76,0.02751133728686073
0.77,0.02733728733375227
0.78,0.027168614618212433
0.79,0.027005119563429315
0.8,0.026846612712745997
0.81,0.02669291409627279
0.8200000000000001,0.026543852644476666
0.8300000000000001,0.026399265644741973
0.8400000000000001,0.026258998237265664
0.8500000000000001,0.026122902947012812
0.86,0.025990839248748482
0.87,0.025862673162461988
0.88,0.025738276876721627
0.89,0.025617528397750437
0.9,0.025500311222186017
0.91,0.02538651403167961
0.92,0.02527603040766283
0.93,0.02516875856473709
0.9400000000000001,0.025064601101283834
0.9500000000000001,0.024963464766007165
0.9600000000000001,0.024865260239256753
0.9700000000000001,0.024769901928002446
0.98,0.0246773077735453
0.99,0.024587399070976422
1.,0.02450010029961493
1.,0.02450010029961493
2.,0.02270039911844076
3.,0.02672825408737257
4.,0.033710959340592386
5.,0.04309972897087984
6.,0.05472871363277313
7.,0.06854067184482367
8.,0.0845190163024632
9.,0.10266535526579516
