n,c
1.,17.209664483851707
16.,1.67693031249669
31.,1.3737377486586377
46.,1.2816143682295156
61.,1.2440523793095255
76.,1.2288942144890604
91.,1.225315871064688
106.,1.2286659325516351
121.,1.2366258379889612
136.,1.2479202060285357
151.,1.2617984056214988
166.,1.2777981458029584
181.,1.295627065519417
196.,1.3150989717162322
211.,1.3360974875035583
226.,1.3585543682242818
241.,1.382436103393211
256.,1.4077354228726062
271.,1.4344658293204746
286.,1.4626580723195928
301.,1.4923579173350772
316.,1.5236248139853883
331.,1.5565312178321642
346.,1.5911624123431036
361.,1.6276167369668435
376.,1.6660061669660082
391.,1.7064572187205946
406.,1.749112175458483
421.,1.794130645865475
436.,1.8416914838652254
451.,1.8919951136017952
466.,1.9452663206193024
481.,2.001757589680247
496.,2.061753092972776
511.,2.1255734612687474
526.,2.193581506991045
541.,2.2661891148787503
556.,2.343865576724154
571.,2.427147726632045
586.,2.516652339610199
601.,2.6130913992478177
616.,2.717291034449981
631.,2.830215192051395
646.,2.9529954832138485
661.,3.0869691641617907
676.,3.233727958126673
691.,3.395181507030467
706.,3.573640834651262
721.,3.7719295914551334
736.,3.993534501794326
751.,4.242812133860853
766.,4.525278224629252
781.,4.8480207473475065
796.,5.220303191308925
811.,5.654468714592323
826.,6.167336068724666
841.,6.78243040961645
856.,7.533695987498942
871.,8.471982059430237
886.,9.677062325230912
901.,11.281608662706072
916.,13.523746541337418
931.,16.877805077262472
946.,22.443751882750806
961.,33.48616920556994
976.,65.91518987158987
991.,5951.676674182749
