n,koff
1.,920.
2.,460.
3.,306.6666666666667
4.,230.
5.,184.
6.,153.33333333333334
7.,131.42857142857142
8.,115.
9.,102.22222222222223
10.,92.
11.,83.63636363636364
12.,76.66666666666667
13.,70.76923076923077
14.,65.71428571428571
15.,61.333333333333336
16.,57.5
17.,54.11764705882353
18.,51.111111111111114
19.,48.421052631578945
20.,46.
21.,43.80952380952381
22.,41.81818181818182
23.,40.
24.,38.333333333333336
25.,36.8
26.,35.38461538461539
27.,34.074074074074076
28.,32.857142857142854
29.,31.724137931034484
30.,30.666666666666668
31.,29.677419354838708
32.,28.75
33.,27.87878787878788
34.,27.058823529411764
35.,26.285714285714285
36.,25.555555555555557
37.,24.864864864864863
38.,24.210526315789473
39.,23.58974358974359
40.,23.
41.,22.4390243902439
42.,21.904761904761905
43.,21.3953488372093
44.,20.90909090909091
45.,20.444444444444443
46.,20.
47.,19.574468085106382
48.,19.166666666666668
49.,18.775510204081634
50.,18.4
51.,18.03921568627451
52.,17.692307692307693
53.,17.358490566037737
54.,17.037037037037038
55.,16.727272727272727
56.,16.428571428571427
57.,16.140350877192983
58.,15.862068965517242
59.,15.59322033898305
60.,15.333333333333334
61.,15.081967213114755
62.,14.838709677419354
63.,14.603174603174603
64.,14.375
65.,14.153846153846153
66.,13.93939393939394
67.,13.73134328358209
68.,13.529411764705882
69.,13.333333333333334
70.,13.142857142857142
71.,12.95774647887324
72.,12.777777777777779
73.,12.602739726027398
74.,12.432432432432432
75.,12.266666666666667
76.,12.105263157894736
77.,11.948051948051948
78.,11.794871794871796
79.,11.645569620253164
80.,11.5
81.,11.358024691358025
82.,11.21951219512195
83.,11.08433734939759
84.,10.952380952380953
85.,10.823529411764707
86.,10.69767441860465
87.,10.574712643678161
88.,10.454545454545455
89.,10.337078651685394
90.,10.222222222222221
91.,10.10989010989011
92.,10.
93.,9.89247311827957
94.,9.787234042553191
95.,9.68421052631579
96.,9.583333333333334
97.,9.484536082474227
98.,9.387755102040817
99.,9.292929292929292
100.,9.2
101.,9.108910891089108
102.,9.019607843137255
103.,8.932038834951456
104.,8.846153846153847
105.,8.761904761904763
106.,8.679245283018869
107.,8.598130841121495
108.,8.518518518518519
109.,8.440366972477063
110.,8.363636363636363
111.,8.288288288288289
112.,8.214285714285714
113.,8.141592920353983
114.,8.070175438596491
115.,8.
116.,7.931034482758621
117.,7.863247863247863
118.,7.796610169491525
119.,7.73109243697479
120.,7.666666666666667
121.,7.603305785123967
122.,7.540983606557377
123.,7.479674796747967
124.,7.419354838709677
125.,7.36
126.,7.301587301587301
127.,7.244094488188976
128.,7.1875
129.,7.131782945736434
130.,7.076923076923077
131.,7.022900763358779
132.,6.96969696969697
133.,6.917293233082707
134.,6.865671641791045
135.,6.814814814814815
136.,6.764705882352941
137.,6.7153284671532845
138.,6.666666666666667
139.,6.618705035971223
140.,6.571428571428571
141.,6.524822695035461
142.,6.47887323943662
143.,6.433566433566433
144.,6.388888888888889
145.,6.344827586206897
146.,6.301369863013699
147.,6.258503401360544
148.,6.216216216216216
149.,6.174496644295302
150.,6.133333333333334
151.,6.0927152317880795
152.,6.052631578947368
153.,6.0130718954248366
154.,5.974025974025974
155.,5.935483870967742
156.,5.897435897435898
157.,5.859872611464968
158.,5.822784810126582
159.,5.786163522012578
160.,5.75
161.,5.714285714285714
162.,5.679012345679013
163.,5.644171779141105
164.,5.609756097560975
165.,5.575757575757576
166.,5.542168674698795
167.,5.508982035928144
168.,5.476190476190476
169.,5.443786982248521
170.,5.411764705882353
171.,5.380116959064328
172.,5.348837209302325
173.,5.317919075144508
174.,5.287356321839081
175.,5.257142857142857
176.,5.2272727272727275
177.,5.19774011299435
178.,5.168539325842697
179.,5.139664804469274
180.,5.111111111111111
181.,5.082872928176796
182.,5.054945054945055
183.,5.027322404371585
184.,5.
185.,4.972972972972973
186.,4.946236559139785
187.,4.919786096256685
188.,4.8936170212765955
189.,4.867724867724868
190.,4.842105263157895
191.,4.816753926701571
192.,4.791666666666667
193.,4.766839378238342
194.,4.742268041237113
195.,4.717948717948718
196.,4.6938775510204085
197.,4.67005076142132
198.,4.646464646464646
199.,4.623115577889447
200.,4.6
201.,4.577114427860696
202.,4.554455445544554
203.,4.532019704433497
204.,4.509803921568627
205.,4.487804878048781
206.,4.466019417475728
207.,4.444444444444445
208.,4.423076923076923
209.,4.401913875598086
210.,4.380952380952381
211.,4.360189573459715
212.,4.339622641509434
213.,4.31924882629108
214.,4.299065420560748
215.,4.27906976744186
216.,4.2592592592592595
217.,4.23963133640553
218.,4.220183486238532
219.,4.200913242009133
220.,4.181818181818182
221.,4.16289592760181
222.,4.1441441441441444
223.,4.125560538116592
224.,4.107142857142857
225.,4.088888888888889
226.,4.070796460176991
227.,4.052863436123348
228.,4.035087719298246
229.,4.0174672489082965
230.,4.
231.,3.982683982683983
232.,3.9655172413793105
233.,3.948497854077253
234.,3.9316239316239314
235.,3.9148936170212765
236.,3.8983050847457625
237.,3.8818565400843883
238.,3.865546218487395
239.,3.8493723849372383
240.,3.8333333333333335
241.,3.8174273858921164
242.,3.8016528925619837
243.,3.786008230452675
244.,3.7704918032786887
245.,3.7551020408163267
246.,3.7398373983739837
247.,3.7246963562753037
248.,3.7096774193548385
249.,3.6947791164658637
250.,3.68
251.,3.6653386454183265
252.,3.6507936507936507
253.,3.6363636363636362
254.,3.622047244094488
255.,3.607843137254902
256.,3.59375
257.,3.5797665369649807
258.,3.565891472868217
259.,3.552123552123552
260.,3.5384615384615383
261.,3.524904214559387
262.,3.5114503816793894
263.,3.4980988593155895
264.,3.484848484848485
265.,3.4716981132075473
266.,3.4586466165413534
267.,3.445692883895131
268.,3.4328358208955225
269.,3.420074349442379
270.,3.4074074074074074
271.,3.3948339483394836
272.,3.3823529411764706
273.,3.36996336996337
274.,3.3576642335766422
275.,3.3454545454545452
276.,3.3333333333333335
277.,3.32129963898917
278.,3.3093525179856114
279.,3.2974910394265233
280.,3.2857142857142856
281.,3.2740213523131674
282.,3.2624113475177303
283.,3.2508833922261484
284.,3.23943661971831
285.,3.2280701754385963
286.,3.2167832167832167
287.,3.205574912891986
288.,3.1944444444444446
289.,3.1833910034602075
290.,3.1724137931034484
291.,3.161512027491409
292.,3.1506849315068495
293.,3.1399317406143346
294.,3.129251700680272
295.,3.1186440677966103
296.,3.108108108108108
297.,3.0976430976430978
298.,3.087248322147651
299.,3.076923076923077
300.,3.066666666666667
301.,3.0564784053156147
302.,3.0463576158940397
303.,3.036303630363036
304.,3.026315789473684
305.,3.0163934426229506
306.,3.0065359477124183
307.,2.996742671009772
308.,2.987012987012987
309.,2.9773462783171523
310.,2.967741935483871
311.,2.9581993569131835
312.,2.948717948717949
313.,2.939297124600639
314.,2.929936305732484
315.,2.9206349206349205
316.,2.911392405063291
317.,2.9022082018927446
318.,2.893081761006289
319.,2.884012539184953
320.,2.875
321.,2.866043613707165
322.,2.857142857142857
323.,2.848297213622291
