n,koff
1.,1488.5673611905738
16.,59.83196876048604
31.,30.4211763332772
46.,20.390357495142986
61.,15.331646246312415
76.,12.28247435237975
91.,10.24386031974011
106.,8.784842264913449
121.,7.689007890918164
136.,6.835759263768705
151.,6.152571344198764
166.,5.593209288022002
181.,5.126805695747069
196.,4.7319657320122515
211.,4.3933923933833245
226.,4.099858565353033
241.,3.8429379200458156
256.,3.616182825094697
271.,3.4145757590893906
286.,3.2341536508377615
301.,3.0717447233896142
316.,2.92478040276405
331.,2.7911584445636115
346.,2.6691417137814994
361.,2.5572822338963053
376.,2.4543634396228473
391.,2.3593557388488855
406.,2.2713819376490645
421.,2.1896900656539238
436.,2.1136318176075446
451.,2.0426453021649325
466.,1.976241126377781
481.,1.9139910869155081
496.,1.8555189155616727
511.,1.8004926563341477
526.,1.7486183480229147
541.,1.6996347582759492
556.,1.6533089700973767
571.,1.6094326633756793
586.,1.5678189661542028
601.,1.5282997752000615
616.,1.490723464785793
631.,1.4549529177770157
646.,1.4208638250969159
661.,1.3883432091573382
676.,1.357288134480553
691.,1.3276045749399246
706.,1.2992064121924283
721.,1.2720145442729738
736.,1.2459560872385047
751.,1.2209636564188426
766.,1.19697471743575
781.,1.1739310008091675
796.,1.1517779776953814
811.,1.1304643979641134
826.,1.109941895099019
841.,1.0901646647719405
856.,1.0710892247041464
871.,1.0526742618636116
886.,1.0348805686348252
901.,1.0176710623256633
916.,1.0010108730282812
931.,0.9848674751134114
946.,0.9692108298773873
961.,0.9540135035272342
976.,0.939250727464534
991.,0.9238315705204198
