n,c
1.,1.001001001001001
2.,1.002004008016032
3.,1.0030090270812437
4.,1.0040160642570282
5.,1.0050251256281406
6.,1.0060362173038229
7.,1.0070493454179255
8.,1.0080645161290323
9.,1.0090817356205852
10.,1.0101010101010102
11.,1.0111223458038423
12.,1.0121457489878543
13.,1.0131712259371835
14.,1.0141987829614605
15.,1.015228426395939
16.,1.016260162601626
17.,1.017293997965412
18.,1.0183299389002036
19.,1.019367991845056
20.,1.0204081632653061
21.,1.0214504596527068
22.,1.0224948875255624
23.,1.0235414534288638
24.,1.0245901639344261
25.,1.0256410256410255
26.,1.0266940451745379
27.,1.027749229188078
28.,1.02880658436214
29.,1.0298661174047374
30.,1.0309278350515463
31.,1.0319917440660475
32.,1.0330578512396693
33.,1.0341261633919339
34.,1.0351966873706004
35.,1.0362694300518134
36.,1.037344398340249
37.,1.0384215991692627
38.,1.0395010395010396
39.,1.0405827263267429
40.,1.0416666666666667
41.,1.0427528675703859
42.,1.0438413361169103
43.,1.044932079414838
44.,1.0460251046025104
45.,1.0471204188481675
46.,1.0482180293501049
47.,1.0493179433368311
48.,1.050420168067227
49.,1.0515247108307044
50.,1.0526315789473684
51.,1.053740779768177
52.,1.0548523206751055
53.,1.0559662090813093
54.,1.0570824524312896
55.,1.0582010582010581
56.,1.0593220338983051
57.,1.0604453870625663
58.,1.0615711252653928
59.,1.0626992561105206
60.,1.0638297872340425
61.,1.0649627263045793
62.,1.0660980810234542
63.,1.0672358591248665
64.,1.0683760683760684
65.,1.0695187165775402
66.,1.0706638115631693
67.,1.0718113612004287
68.,1.0729613733905579
69.,1.0741138560687433
70.,1.075268817204301
71.,1.0764262648008611
72.,1.0775862068965518
73.,1.0787486515641855
74.,1.079913606911447
75.,1.0810810810810811
76.,1.0822510822510822
77.,1.0834236186348862
78.,1.0845986984815619
79.,1.0857763300760044
80.,1.0869565217391304
81.,1.088139281828074
82.,1.0893246187363834
83.,1.0905125408942202
84.,1.091703056768559
85.,1.092896174863388
86.,1.0940919037199124
87.,1.095290251916758
88.,1.0964912280701755
89.,1.0976948408342482
90.,1.098901098901099
91.,1.1001100110011002
92.,1.1013215859030836
93.,1.1025358324145536
94.,1.1037527593818985
95.,1.1049723756906078
96.,1.1061946902654867
97.,1.1074197120708749
98.,1.1086474501108647
99.,1.1098779134295227
100.,1.1111111111111112
101.,1.1123470522803114
102.,1.1135857461024499
103.,1.1148272017837235
104.,1.1160714285714286
105.,1.1173184357541899
106.,1.1185682326621924
107.,1.1198208286674132
108.,1.1210762331838564
109.,1.122334455667789
110.,1.1235955056179776
111.,1.124859392575928
112.,1.1261261261261262
113.,1.1273957158962795
114.,1.1286681715575622
115.,1.1299435028248588
116.,1.1312217194570136
117.,1.1325028312570782
118.,1.1337868480725624
119.,1.1350737797956867
120.,1.1363636363636365
121.,1.1376564277588168
122.,1.1389521640091116
123.,1.1402508551881414
124.,1.1415525114155252
125.,1.1428571428571428
126.,1.1441647597254005
127.,1.145475372279496
128.,1.146788990825688
129.,1.148105625717566
130.,1.1494252873563218
131.,1.1507479861910241
132.,1.152073732718894
133.,1.1534025374855825
134.,1.1547344110854503
135.,1.1560693641618498
136.,1.1574074074074074
137.,1.1587485515643106
138.,1.160092807424594
139.,1.1614401858304297
140.,1.1627906976744187
141.,1.1641443538998837
142.,1.1655011655011656
143.,1.1668611435239207
144.,1.1682242990654206
145.,1.1695906432748537
146.,1.17096018735363
147.,1.1723329425556859
148.,1.1737089201877935
149.,1.1750881316098707
150.,1.1764705882352942
151.,1.1778563015312131
152.,1.179245283018868
153.,1.1806375442739079
154.,1.1820330969267139
155.,1.183431952662722
156.,1.1848341232227488
157.,1.1862396204033214
158.,1.187648456057007
159.,1.1890606420927468
160.,1.1904761904761905
161.,1.1918951132300357
162.,1.1933174224343674
163.,1.1947431302270013
164.,1.1961722488038278
165.,1.1976047904191616
166.,1.1990407673860912
167.,1.2004801920768307
168.,1.2019230769230769
169.,1.203369434416366
170.,1.2048192771084338
171.,1.2062726176115801
172.,1.2077294685990339
173.,1.2091898428053205
174.,1.2106537530266344
175.,1.2121212121212122
176.,1.2135922330097086
177.,1.2150668286755772
178.,1.2165450121654502
179.,1.218026796589525
180.,1.2195121951219512
181.,1.221001221001221
182.,1.2224938875305624
183.,1.2239902080783354
184.,1.2254901960784315
185.,1.2269938650306749
186.,1.2285012285012284
187.,1.2300123001230012
188.,1.2315270935960592
189.,1.2330456226880395
190.,1.2345679012345678
191.,1.2360939431396787
192.,1.2376237623762376
193.,1.2391573729863692
194.,1.2406947890818858
195.,1.2422360248447204
196.,1.243781094527363
197.,1.2453300124533002
198.,1.2468827930174564
199.,1.2484394506866416
200.,1.25
