n,c
1.,0.09912891361332425
101.,0.10003256030073641
201.,0.10107159704832448
301.,0.10213280677993093
401.,0.10321639380835697
501.,0.10432294060455644
601.,0.10545313158132098
701.,0.10660770607582414
801.,0.1077874461713641
901.,0.10899317342542388
1001.,0.11022574862052116
1101.,0.11148607278065402
1201.,0.11277508882978142
1301.,0.11409378364500275
1401.,0.11544319040045205
1501.,0.11682439115890395
1601.,0.11823851969666727
1701.,0.11968676456208345
1801.,0.12117037237639923
1901.,0.1226906513912585
2001.,0.12424897532111699
2101.,0.12584678747228567
2201.,0.1274856051934896
2301.,0.12916702467600458
2401.,0.13089272613477346
2501.,0.1326644794055036
2601.,0.13448414999670066
2701.,0.13635370563997806
2801.,0.13827522338687726
2901.,0.14025089730592566
3001.,0.14228304683984003
3101.,0.14437412588975745
3201.,0.14652673270126929
3301.,0.14874362063597094
3401.,0.15102770992240924
3501.,0.15338210049186313
3601.,0.15581008601758597
3701.,0.15831516929120423
3801.,0.16090107908722284
3901.,0.1635717886863857
4001.,0.16633153625141206
4101.,0.16918484727486352
4201.,0.17213655934921895
4301.,0.17519184954432077
4401.,0.1783562647181049
4501.,0.18163575513392116
4601.,0.1850367118130642
4701.,0.18856600811581717
4801.,0.19223104612021166
4901.,0.19603980845698454
5001.,0.2000009163645692
5101.,0.20412369485262385
5201.,0.20841824601076112
5301.,0.2128955316754756
5401.,0.21756746687926223
5501.,0.22244702575908817
5601.,0.2275483619061946
5701.,0.2328869455080069
5801.,0.2384797200805935
5901.,0.24434528213610907
6001.,0.2505040877984743
6101.,0.25697869120365485
6201.,0.26379402053895684
6301.,0.27097769884138373
6401.,0.27856041825709255
6501.,0.2865763784526814
6601.,0.29506380238406693
6701.,0.304065545829466
6801.,0.3136298211938174
6901.,0.32381106138299015
7001.,0.3346709564241029
7101.,0.34627970452014206
7201.,0.35871753113484256
7301.,0.37207654557954184
7401.,0.3864630259432388
7501.,0.40200025226702046
7601.,0.4188320478177617
7701.,0.4371272438981129
7801.,0.4570853619419206
7901.,0.47894391850587725
8001.,0.5029879209488309
8101.,0.5295623605635722
8201.,0.5590888683410746
8301.,0.5920882466388104
8401.,0.629211446305717
8501.,0.6712829286758332
8601.,0.7193626020144842
8701.,0.7748363294272453
8801.,0.8395516672076825
8901.,0.9160276031918241
9001.,1.0077900702631557
9101.,1.1199310103564395
9201.,1.260086485776992
9301.,1.4402526139694656
9401.,1.6804160300592328
9501.,2.016536793210869
9601.,2.5204912661692376
9701.,3.3598360752113057
9801.,5.0364260721037155
9901.,10.049759260358211
