n,koff
1.,1000.
2.,500.
3.,333.3333333333333
4.,250.
5.,200.
6.,166.66666666666666
7.,142.85714285714286
8.,125.
9.,111.11111111111111
10.,100.
11.,90.9090909090909
12.,83.33333333333333
13.,76.92307692307692
14.,71.42857142857143
15.,66.66666666666667
16.,62.5
17.,58.8235294117647
18.,55.55555555555556
19.,52.63157894736842
20.,50.
21.,47.61904761904762
22.,45.45454545454545
23.,43.47826086956522
24.,41.666666666666664
25.,40.
26.,38.46153846153846
27.,37.03703703703704
28.,35.714285714285715
29.,34.48275862068966
30.,33.333333333333336
31.,32.25806451612903
32.,31.25
33.,30.303030303030305
34.,29.41176470588235
35.,28.571428571428573
36.,27.77777777777778
37.,27.027027027027028
38.,26.31578947368421
39.,25.641025641025642
40.,25.
41.,24.390243902439025
42.,23.80952380952381
43.,23.25581395348837
44.,22.727272727272727
45.,22.22222222222222
46.,21.73913043478261
47.,21.27659574468085
48.,20.833333333333332
49.,20.408163265306122
50.,20.
51.,19.607843137254903
52.,19.23076923076923
53.,18.867924528301888
54.,18.51851851851852
55.,18.181818181818183
56.,17.857142857142858
57.,17.54385964912281
58.,17.24137931034483
59.,16.949152542372882
60.,16.666666666666668
61.,16.39344262295082
62.,16.129032258064516
63.,15.873015873015873
64.,15.625
65.,15.384615384615385
66.,15.151515151515152
67.,14.925373134328359
68.,14.705882352941176
69.,14.492753623188406
70.,14.285714285714286
71.,14.084507042253522
72.,13.88888888888889
73.,13.698630136986301
74.,13.513513513513514
75.,13.333333333333334
76.,13.157894736842104
77.,12.987012987012987
78.,12.820512820512821
79.,12.658227848101266
80.,12.5
81.,12.345679012345679
82.,12.195121951219512
83.,12.048192771084338
84.,11.904761904761905
85.,11.764705882352942
86.,11.627906976744185
87.,11.494252873563218
88.,11.363636363636363
89.,11.235955056179776
90.,11.11111111111111
91.,10.989010989010989
92.,10.869565217391305
93.,10.75268817204301
94.,10.638297872340425
95.,10.526315789473685
96.,10.416666666666666
97.,10.309278350515465
98.,10.204081632653061
99.,10.1010101010101
100.,10.
101.,9.900990099009901
102.,9.803921568627452
103.,9.70873786407767
104.,9.615384615384615
105.,9.523809523809524
106.,9.433962264150944
107.,9.345794392523365
108.,9.25925925925926
109.,9.174311926605505
110.,9.090909090909092
111.,9.00900900900901
112.,8.928571428571429
113.,8.849557522123893
114.,8.771929824561404
115.,8.695652173913043
116.,8.620689655172415
117.,8.547008547008547
118.,8.474576271186441
119.,8.403361344537815
120.,8.333333333333334
121.,8.264462809917354
122.,8.19672131147541
123.,8.130081300813009
124.,8.064516129032258
125.,8.
126.,7.936507936507937
127.,7.874015748031496
128.,7.8125
129.,7.751937984496124
