n,koff
1.,1618.6307999742132
11.,95.87149377021645
21.,49.15642585692243
31.,33.04379525980509
41.,24.88355299929139
51.,19.95383605256708
61.,16.65329588969963
71.,14.288855236630233
81.,12.511734748326477
91.,11.12727915977139
101.,10.018294075101002
111.,9.110001833042908
121.,8.352443843996307
131.,7.710972631501839
141.,7.160803687305549
151.,6.683739091852692
161.,6.266115820229399
171.,5.897475982089675
181.,5.56967904771522
191.,5.276293664828979
201.,5.012171461370848
211.,4.773142320933423
221.,4.555792570853708
231.,4.357300905099342
241.,4.17531523870696
251.,4.007859056500232
261.,3.853259331013593
271.,3.7100904282457092
281.,3.5771300116178604
291.,3.4533240531481657
301.,3.33775883046278
311.,3.2296383348106725
321.,3.128265908325039
331.,3.033029214815252
341.,2.9433878588116693
351.,2.8588631239907993
361.,2.779029419467838
371.,2.7035071112959432
381.,2.631956484348151
391.,2.5640726319605176
401.,2.499581111186999
411.,2.4382342331155358
421.,2.379807882530664
431.,2.3240987808517057
441.,2.2709221219058
451.,2.2201095226026237
461.,2.1715072406405094
471.,2.12497461951155
481.,2.080382727686584
491.,2.0376131642605073
501.,1.9965570077666255
511.,1.9571138885159403
521.,1.919191167833243
531.,1.8827032100658343
541.,1.8475707353269513
551.,1.8137202426806553
561.,1.7810834949386996
571.,1.7495970574720687
581.,1.7192018844802428
591.,1.689842947042345
601.,1.6614688980226062
611.,1.6340317695400242
621.,1.607486699256514
631.,1.5817916822043807
641.,1.5569073452749396
651.,1.532796741836177
661.,1.5094251642473346
671.,1.486759972299872
681.,1.464770435844017
691.,1.4434275900638738
701.,1.4227041020467768
711.,1.4025741474590516
721.,1.383013296294245
731.,1.3639984068050155
741.,1.3455075268689642
751.,1.3275198021741514
761.,1.3100153907432985
771.,1.2929753834473279
781.,1.2763817302880451
791.,1.2602171723543827
801.,1.244465179472968
811.,1.2291098936759686
821.,1.2141360786907318
831.,1.1995290757074095
841.,1.1852747656942726
851.,1.171359538496833
861.,1.1577702688692004
871.,1.1444942994412088
881.,1.1315194304243221
891.,1.1188339156111198
901.,1.1064264639431722
911.,1.0942862456327433
921.,1.082402901554062
931.,1.0707665544005605
941.,1.059367819967723
951.,1.0481978168897808
961.,1.0372481732503538
971.,1.0265110287008519
981.,1.0159790310445902
991.,1.0056453266507694
