c,Err_koff
0.0025,3074.126125550346
0.0035,2408.0995770718846
0.0045000000000000005,1979.9787342422924
0.0055,1681.609525049135
0.006500000000000001,1461.7680044326382
0.0075,1293.057868590072
0.0085,1159.4990329079956
0.0095,1051.1421556035343
0.0105,961.4689737445094
0.011500000000000002,886.0306648302645
0.0125,821.6869717763486
0.0135,766.158035921238
0.0145,717.7486120918795
0.015500000000000002,675.171970478819
0.0165,637.4338350909434
0.017499999999999998,603.7537632638602
0.0185,573.5105937913686
0.0195,546.2037846576517
0.0205,521.4254907439836
0.0215,498.84005483425364
0.0225,478.16871297407937
0.0235,459.1780303690892
0.024499999999999997,441.6710477165449
0.025,433.42064818218154
0.035,316.40788137737894
0.045,250.1608695079825
0.055,207.53170676396368
0.065,177.8010996803472
0.07500000000000001,155.88414241012893
0.08499999999999999,139.05827982556534
0.095,125.73418513128297
0.10500000000000001,114.92171739879188
0.11499999999999999,105.97187221585014
0.125,98.44151642353359
0.135,92.01775525870187
0.145,86.47336041289671
0.155,81.63933026389694
0.165,77.38736217940937
0.175,73.6182968096652
0.185,70.25428804285983
0.195,67.23336870188307
0.205,64.5055982868746
0.215,62.030280298648876
0.225,59.77391800206047
0.235,57.708689692434646
0.245,55.811295698505454
0.25,54.91927032154176
0.35,42.41405126955477
0.45,35.45299288148612
0.55,31.018027315409018
0.65,27.945226141398
0.75,25.690516313307416
0.8500000000000001,23.96553027511474
0.9500000000000001,22.60317964478969
1.,22.02403311123344
2.,16.51675239914893
3.,14.678499734423658
4.,13.759467652478522
5.,13.20853924257749
6.,12.841670193344282
7.,12.579919743676566
8.,12.383820221303576
9.,12.231456761500537
10.,12.109689486753586
11.,12.010162429623142
12.,11.927308448783439
13.,11.85727548287766
14.,11.797313348213718
15.,11.745406043185302
16.,11.700042073023916
17.,11.660065916056078
18.,11.624579048984142
19.,11.592872256261982
20.,11.564378264600178
21.,11.538637921731738
22.,11.515275606306382
23.,11.49398105731276
24.,11.474495749242884
25.,11.456602539304336
26.,11.440117705139297
27.,11.424884752947825
28.,11.410769553112154
29.,11.397656482696124
30.,11.385445339886083
