x,Err_x
0.001,38543.15299999077
0.051000000000000004,398.90223056540884
0.101,208.9468867201595
0.15100000000000002,107.85954533915746
0.201,63.153962172304105
0.251,41.285442341610064
0.30100000000000005,29.097568501126194
0.35100000000000003,21.631016313331493
0.401,16.72955876563512
0.451,13.339243409626532
0.501,10.896397055199056
0.65,0.0006618001239734334
0.75,0.0005041444348737188
0.5,0.0010938320197518773
1.,0.0002935125217181267
1.5,0.00013964955121077623
2.,0.00008399057942254498
2.5,0.000057293892408264794
3.,0.00004220937624521594
3.5,0.000032719230674325395
4.,0.000026281463890532085
4.5,0.00002166721607199381
5.,0.000018220204223482186
5.5,0.000015561754553969327
6.,0.000013459392306993009
6.5,0.00001176296578295263
7.,0.000010371329268747174
7.5,9.21391332447486e-6
8.,8.240006751529504e-6
8.5,7.41224760067515e-6
9.,6.702518111666438e-6
9.5,6.089268522633677e-6
10.,5.555720788050611e-6
10.5,5.088631524279141e-6
11.,4.677420541635468e-6
11.5,4.313544483448337e-6
12.,3.990038554833185e-6
12.5,3.701175884606191e-6
13.,3.4422107209730145e-6
13.5,3.2091823585130714e-6
14.,2.9987637137381777e-6
14.5,2.8081431658248475e-6
15.,2.634931482538129e-6
15.5,2.4770878719508382e-6
16.,2.332860763490031e-6
16.5,2.200740037356344e-6
17.,2.0794182279177065e-6
17.5,1.9677588167864935e-6
18.,1.8647701677302945e-6
18.5,1.7695839816962018e-6
19.,1.6814373961289267e-6
19.5,1.5996580398993347e-6
20.,1.5236514986066606e-6
