x,Err_x
0.001,370790.9176
0.051,3989.015561
0.101,2226.344837
0.151,1588.089237
0.201,1260.431429
0.251,1061.570931
0.301,928.3806145
0.351,833.1934857
0.401,761.976006
0.451,706.8529426
0.501,663.063742
0.65,0.05743255
0.75,0.053603448
0.5,0.066385015
1,0.047833601
1.5,0.043590244
2,0.043309996
2.5,0.044904998
3,0.047672967
3.5,0.051308164
4,0.055653342
4.5,0.060616931
5,0.066139888
5.5,0.072180629
6,0.078707515
6.5,0.08569482
7,0.093120444
7.5,0.100964554
8,0.109208761
8.5,0.11783559
9,0.126828153
9.5,0.136169932
10,0.145844646
10.5,0.155836163
11,0.16612845
11.5,0.17670555
12,0.187551572
12.5,0.198650691
13,0.209987157
13.5,0.221545315
14,0.23330962
14.5,0.245264661
15,0.257395182
15.5,0.269686104
16,0.282122553
16.5,0.294689876
17,0.307373666
17.5,0.320159783
18,0.33303437
18.5,0.345983874
19,0.358995056
19.5,0.372055006
20,0.385151154
